Subject,Group,Item,Vot Score,Block,Category,Cond_race,Cond_acce,Extra,Word Duration
113,CBC,baby,0.00710306335388,1,3,,,,
113,CBC,back,0.0116771146748,1,1,,,,
113,CBC,backpack,0.0160107951362,1,1,,,,
113,CBC,bag,0.0120879181336,1,1,,,,
113,CBC,banana,0.0142502111367,1,3,,,,
113,CBC,basket,0.0165113154525,1,3,,,,
113,CBC,battery,0.00947811603328,1,1,,,,
113,CBC,beer,0.0238971479633,1,1,,,,
113,CBC,bird,0.0193244219369,1,3,,,,
113,CBC,bone,0.0125403039141,1,1,,,,
113,CBC,bowl,0.0148361613907,1,3,,,,
113,CBC,box,0.0171309854039,1,3,,,,
113,CBC,boy,0.011801731474,1,3,,,,
113,CBC,bubble,0.00929375974818,1,1,,,,
113,CBC,bus,0.0226373257424,1,1,,,,
113,CBC,cake,0.0379382833337,1,2,,,,
113,CBC,camera,0.0441644408843,1,4,,,,
113,CBC,can,0.0649493220627,1,2,,,,
113,CBC,candy,0.0442734142476,1,2,,,,
113,CBC,carpet,0.0414392880009,1,2,,,,
113,CBC,carrot,0.0755867090636,1,4,,,,
113,CBC,coffee,0.0472027186317,1,2,,,,
113,CBC,computer,0.0430555548334,1,2,,,,
113,CBC,cup,0.0454066547697,1,2,,,,
113,CBC,dog,0.0107623130503,1,1,,,,
113,CBC,door,0.0194314135666,1,3,,,,
113,CBC,duck,0.0103252091555,1,3,,,,
113,CBC,ghost,0.026325148239,1,1,,,,
113,CBC,girl,0.0240031824511,1,3,,,,
113,CBC,gum,0.0243283742315,1,1,,,,
113,CBC,paint,0.0165811314778,1,4,,,,
113,CBC,panda,0.0379181192387,1,4,,,,
113,CBC,pants,0.0256527133854,1,2,,,,
113,CBC,peach,0.039876484356,1,2,,,,
113,CBC,peanut,0.0371916349923,1,4,,,,
113,CBC,pear,0.0720024886257,1,4,,,,
113,CBC,pen,0.0420533704621,1,2,,,,
113,CBC,pepper,,1,4,,,,
113,CBC,piano,0.0527721878604,1,2,,,,
113,CBC,pineapple,0.0169800673107,1,2,,,,
113,CBC,tomato,0.0496423990679,1,4,,,,
113,CBC,tongue,0.0534474352277,1,4,,,,
113,CBC,tooth,0.0567768549579,1,4,,,,
113,CBC,turkey,0.041106841741,1,4,,,,
113,CBC,turtle,0.043403211613,1,4,,,,
113,CBC,baby,0.0118675450721,2,3,,,,
113,CBC,back,0.00805504865244,2,1,,,,
113,CBC,backpack,0.0117709809135,2,1,,,,
113,CBC,bag,0.01263148123,2,1,,,,
113,CBC,ball,0.018249924256,2,3,,,,
113,CBC,banana,0.0132299054381,2,3,,,,
113,CBC,basket,0.0165814193485,2,3,,,,
113,CBC,battery,0.0109347910125,2,1,,,,
113,CBC,bear,0.0117086377611,2,3,,,,
113,CBC,beer,0.0104563939057,2,1,,,,
113,CBC,belly,0.00904549295264,2,1,,,,
113,CBC,bird,0.0109657767886,2,3,,,,
113,CBC,bone,0.0104287889186,2,1,,,,
113,CBC,bottle,0.00851626027199,2,1,,,,
113,CBC,bowl,0.00958897054257,2,3,,,,
113,CBC,boy,0.0134291909284,2,3,,,,
113,CBC,bubble,0.0104811338309,2,1,,,,
113,CBC,bus,0.0103773310786,2,1,,,,
113,CBC,cake,0.0562716220391,2,2,,,,
113,CBC,camera,0.0598928241257,2,4,,,,
113,CBC,can,0.0468404884875,2,2,,,,
113,CBC,candy,0.054983031961,2,2,,,,
113,CBC,carpet,0.0630572948389,2,2,,,,
113,CBC,carrot,0.0548926508829,2,4,,,,
113,CBC,coffee,0.0426568176547,2,2,,,,
113,CBC,cup,0.0432614938412,2,2,,,,
113,CBC,deer,0.0132868843508,2,3,,,,
113,CBC,dog,0.00952941060429,2,1,,,,
113,CBC,duck,0.0162894318669,2,3,,,,
113,CBC,girl,0.0405233876159,2,3,,,,
113,CBC,gum,0.0219886976297,2,1,,,,
113,CBC,paint,0.0260241001749,2,4,,,,
113,CBC,panda,0.0319353602298,2,4,,,,
113,CBC,peanut,0.0412858455537,2,4,,,,
113,CBC,pear,0.0808694588436,2,4,,,,
113,CBC,pen,0.0684512969515,2,2,,,,
113,CBC,pencil,0.0311084908568,2,4,,,,
113,CBC,pepper,0.0336419651893,2,4,,,,
113,CBC,piano,0.0798407968334,2,2,,,,
113,CBC,pineapple,0.043640206494,2,2,,,,
113,CBC,tail,0.0369462759102,2,4,,,,
113,CBC,tongue,0.0484432682622,2,4,,,,
113,CBC,tooth,0.0322533453336,2,4,,,,
113,CBC,turkey,0.0172279482314,2,4,,,,
113,CBC,turtle,0.0463120560531,2,4,,,,
